name,ra,dec,zp,zs
J033150.63-282910.86,52.9610,-28.4863,1.02,
J033129.06-272336.65,52.8711,-27.3935,0.36,0.3456
J033051.65-272856.18,52.7152,-27.4823,0.58,
J032723.33-275657.10,51.8472,-27.9492,0.35,0.4635
J033240.53-283622.28,53.1689,-28.6062,0.31,0.3224
J032955.16-284359.67,52.4798,-28.7332,0.04,
J032705.57-284011.91,51.7732,-28.6700,0.71,
J003526.35-443806.37,8.8598,-44.6351,1.15,
J003406.02-442101.84,8.5251,-44.3505,0.25,
J022305.26-042800.90,35.7719,-4.4669,0.90,0.8194
J022446.71-050017.47,36.1946,-5.0049,0.05,0.0694
